text,translation,num_words,author,source,page,line
Ki model aza ki ka fè man ka jwenn ou isiya jòdi-a ?,Quel hasard fait que je te rencontre ici aujourd’hui ?,13,,,58,9
"An jou, an flè yo ka kriyé kokliko wouj kité l'Azi, la i né a, pou fè an gran vwayaj alantou latè-a M. Houdin, K. R.)","Un jour, une fleur appelée hibiscus quitta l'Asie, où elle est née, pour faire un grandvoyage autour de la terre.",6,,,58,14
Toujou té ni yonn dé Aziyatik Tè-Senvil.,Il y a toujours eu quelques Asiatiques à Terres-Sainvilles.,7,,,58,19
Ola ti azougoun-mwen an ka séré ?,Où se cache ma petite chérie ?,7,,,58,23
"Marian pati ay chaché Vach-Lanmè, ki ka rété azwapapouf.",Marignan partit à la recherche de la Vache de mer qui habitait au diable vauvert.,15,T. Léotin,L.L.,58,27
Ek tanbouyé-a ka bat ba lalin ka lévé nan sézonn.,Et le tambourinaire frappe pour la lune en rut.,12,Monchoachi,Nst,59,11
Latè-a ba ba moun ki ka sèklé sèklé.,La terre est basse pour ceux qui n’ont de cesse de sarcler.,12,D. Boukman,A. F.,59,15
Man las di’w tiré ba-a ba milé-a dépi nou ritounen.,Je suis fatigué de te dire d’enlever le bât du mulet dès notre retour.,10,,,59,19
Met Gaston té ba yo chak-la an kout ba dèyè tet.,Monsieur Gaston leur avait donné à chacun un coup de barre derrière la tête.,19,T. Léotin,L. L.,59,23
Pengad pa chiré ba goch-ou a !,Fais attention à ne pas déchirer ton bas gauche !,7,,,59,29
Papa Nwel sé té an bolonm épi an bon laj ek an bab blan.,Le Père Noël était un bonhomme très âgé avec une barbe blanche.,14,F. Kichenassamy,C. D. D.,59,36
"Ou mété kò’w adan an bel bab, wi frè !","Tu t’es mis dans une sale histoire, mon vieux !",14,M-Th. Lung-Fou,3.B.F.,59,41
"Pa ni koté ki pli plat, atravè la Karayib, pasé Babad.","Il n’existe pas d’endroit, dans la Caraïbe, qui soit plus plat que la Barbade.",11,,,59,50
"Dlo dousi, dlo babad, dlo koko frapé.","De l’eau sucrée, de l’eau à base de farine d’arrow-root, de l’eau de coco glacée.",13,M. Lebielle,F. N.,60,3
"Lè babadin ka mi, yo ka pwan an bel ti koulè jòn.","Quand les barbadines mûrissent, elles prennent une jolie teinte jaune.",12,,,60,15
Gran-papa babich blan ka dansé an mazouk.,Des grands-pères à la barbiche blanche dansent une mazurka.,14,G. Gratiant,F. K. Z.,60,21
Sé zélev koumansé fè anlo babiyaj lè yo dékouvè dèvwa-a.,Les élèves émirent beaucoup de protestations quand ils découvrir le devoir.,10,,,60,39
"Lè zot fini babiyaj-zot la, di mwen, wi !","Quand vous en aurez fini avec toutes vos querelles, faites-le moi savoir, s’il vous plaît !",15,R. Confiant,Maris.,60,45
"Yo tou lé dé koumansé babiyé, ka kriyé tout moun volè.","Ils se mirent tous deux à protester, traitant tout le monde de voleur.",16,E.C. Parsons,F. A.,60,49
Man ké fè débouya pou opozé sé timanmay-la babiyé.,Je me débrouillerai pour empêcher aux enfants de se quereller.,9,,,60,53
Fout té ni babiyè douvan labank-lan !,Qu’est-ce qu’il y avait comme protestataires devant la banque !,7,,,60,59
Joj sé an babiyè kon man pa janmen wè.,Georges est un querelleur comme je n’en ai jamais rencontré.,9,,,60,65
Men man plis ki sav sa té baboul pou plen zié-mwen.,Mais je savais très bien qu’il s’agissait de mensonges visant à m’aveugler.,14,R. Confiant,Maris.,61,7
Ké ni jako ké lé baboulé mwen.,Il y aura des beaux parleurs qui voudront me mystifier.,13,Joby Bernabé,Konm.,61,11
Pa ni boug ki pli baboulè pasé Wobè.,Il n’y a personne de plus mystificateur que Robert.,8,,,61,15
Sé tonton-mwen ki apwann mwen baboutjé bef.,C’est mon oncle qui m’a appris à mettre un licou aux bœufs.,7,,,61,21
Ki manniè nou ké rivé baboutjé lagrip-tala ?,Comment parviendrons à juguler cette grippe ?,8,,,61,27
Mi an baboutjet !,Voici un licou !,7,D. Boukman,Déliv.,61,32
"I té sitelman vié, baboutjet-li té ka rivé jik an latjé’y.",Il était si vieux que sa barbe lui frôlait la queue.,15,T. Léotin,L. L.,61,38
I té genyen an kanmiyonnet baché.,Il avait acheté une camionnette bâchée.,9,R. Confiant,K.Y.,61,44
Konmen bachèlié lékol-ou trapé lanné-tala ?,Combien de bacheliers a obtenu ton école cette année ?,6,,,61,48
"I té alé lékol dan lékol masè, lè i té pasé bacho’y.",Elle avait été dans une école religieuse où elle avait passé son bachot.,18,I. et H. Cadoré,Vln.,61,55
Jis Kolbi ki lé badinen nou !,Même Colby qui veut nous tromper !,12,Victor Coridun,Carn.,62,10
La-Sent-Viej té ba manman'y dé ti badjet.,La Sainte Vierge avait donné deux petites baguettes à sa mère.,15,I. Césaire,C. N. J.,62,19
Badjolay pa jenmen mennen moun lwen.,La vantardise ne mène jamais loin.,6,,,62,35
Ni an boul badjolè ka désann o péyi.,Il y a des tas de blagueurs qui débarquent au pays.,13,J. Florentiny,Dod.,62,40
Fok té wè ki manniè yo té ka badjolé apré match-la.,Il fallait voir à quel point ils se vantaient après le match.,11,,,62,45
Yo kontinié gouli badjoum manjé-a Loret ek sé makoumè'y la té paré a.,Ils continuèrent à dévorer l'énorme quantité de nourriture que Laurette et,13,R. Confiant,K.Y,62,49
Gwo bag lò-a i té ka pòté adan dwet-zanno'y la.,La grosse bague en or qu'il arborait à l'annulaire.,18,R. Confiant,E. P. T.,62,55
Pa ni tibolonm ki pli bagarè ki Joj.,Il n’y a pas de petit garçon plus bagarreur que Georges.,8,,,63,3
Dépi man manjé an bagay i ka fè pwoptay dan-mwen.,"Dès que je mange quelque chose, il me nettoie les dents.",19,T. Léotin,L. L.,63,12
"An gwo Bétjé ki té fè yo voyé Liben nan péyi Guiyàn pou'y té travay fòsé, travay fòsa, travay bagna.","Un riche Blanc créole qui avait fait envoyer Lubin en Guyane aux travauxforcés, pour qu'il travaille comme un forçat, un bagnard.",10,R. Davidas,Ch.,63,19
Koté matant-ou mété bak-la ?,Où ta tante a-t-elle mis le bac ?,5,,,63,26
Liniz li-menm kontinié mennen ti bak-li asou lanmè lavi-a.,"Quant à Lunise, elle continua à mener son petit bac sur l’océan de la vie.",15,G-H. Léotin,L. L.,63,32
Yo pofité di tout bakannal-tala pou désidé i té tan pou yo té chapé.,Ils profitèrent de tout ce vacarme pour décider qu'il était temps qu'ils s'en aillent.,14,H. Bartéléry,T. A.,63,43
I za tan pou bakannal-tala fini.,Il est temps que cette bacchanale s'arrête.,14,G. Mauvois,M. M.,63,50
Sé pa nenpot ki bakatrel ki té pé fè sa.,Cela ne pouvait être fait par le premier jeunot venu.,18,R. Confiant,K.Y.,63,54
"Lè yo rivé, pit-la té za bakfoul.","Lorsqu'ils arrivèrent, le gallodrome était déjà plein à craquer.",13,R. Confiant,Bitak.,63,58
"Martiniké sé kon sigal, yo ka chanté, yo ka fè bal.","Les Martiniquais sont semblables à des cigales, ils chantent, organisent des bals.",18,M-TH. Lung-Fou,P.D.,64,12
"Lè i tann bal koumansé siflé bò zowey-yo, i létjété douvan misié Kléman.","Quand il entendit les balles commencer à siffler près de leurs oreilles, il se jeta",13,G-H. Léotin,M. L.,64,20
Man sèten loto-a té ni twop balan an kò’y.,Je suis certain que la voiture allait à trop grande vitesse.,9,,,64,28
Adan menm balan-an yo ké tiré pié-yo.,Dans le même temps où ils se retireront.,12,Monchoachi,Nst.,64,39
"Apré sa, i risivrè an balan moun.","Après cela, elle reçut un grand nombre de gens.",14,H. Bartéléry,T. A.,64,45
"I pwan balans, koumansé pézé.",Il prit une balance et commença à peser.,12,T. Léotin,L. L.,64,49
Mwen menm ka balansé an mitan grand kay-la.,"Moi-même, je me balance à l’intérieur de la grande maison.",15,G. Gratiant,F. K. Z.,64,53
Sé timanmay-la té ka fè balansin anlè gwo branch pié mango-a.,Les enfants s’amusaient à la balançoire sur la grosse branche du manguier.,11,,,64,57
Balansman an moun ka dòmi doubout.,Le balancement de quelqu’un qui dort debout.,10,S. Beckett,L.K.G.,64,62
Ni an bel pié balata ki lévé dèyè kay-la.,Un beau balata a poussé derrière la maison.,9,,,65,8
Ou sé di sé Balata i té ka rété.,On dirait qu’il habitait à Balata.,9,,,65,14
"Epi kout balata, kout boutou.","Et des coups de bâton, des coups de gourdin.",11,G-H. Léotin,M. L.,65,20
Sé péchè-a viré épi pres dé tòn balawou.,Les pêcheurs sont revenus avec presque deux tonnes de balarous.,8,,,65,24
"Ka lévé jwomon, kristofin, baldiri, bagay kon sa.","Plantant des giraumons, des cristophines, des topinambours, des légumes de ce genre.",15,R. Confiant,K. Y.,65,50
Koté ou mété balé-mwen an ?,Où as-tu mis mon balai ?,6,,,65,58
Jou ka balé jou. Ayen pa ni larel ni bout.,Les jours balaient les jours. Il n'est de sens ni de fin en rien.,14,Monchoachi,Mant.,65,65
An lot ka rétjiré épi balé-zo.,Une autre qui récurait à l'aide d'un balai en feuilles de palmiste.,11,G-H. Léotin,M. L.,66,4
Gran madanm-lan té limen an balenn an latjuizin-la.,La vieille femme avait allumé une bougie dans la cuisine.,8,,,66,11
Anlo gwo rétjen gri té ka tjenbé adan zel-yo tjek gwo balenn blé pou yo dansé.,Un grand nombre de requins gris qui tenaient entre leurs aileronsquelque grosse baleine bleue pour danser avec elle.,8,"F. Kichenassamy,C. D.",D.,66,18
Zot ki ka méprizé baléyè lari a.,Vous qui méprisez le balayeur de rue.,12,E. Pézo,Port.,66,23
An jenn fanm ka balié.,Une jeune femme qui balaie.,11,G.H. Léotin,M. L.,66,30
Yo ja las di sé timanmay-la pa apiyé anlè balistrad-la.,On a déjà répété aux enfants de ne pas s’appuyer sur la balustrade.,10,,,66,42
"Rivé Kaz-Pilot, gran-papa'y té ka vini jwenn li anlè balkadè.","Arrivé à Case-Pilote, son grand-père venait le chercher à l'embarcadère.",10,I et H. Cadoré,S. D. M.,66,57
Pa menm lésé’y gadé dépi balkon’w la.,Ne l’autorisez même pas à regarder depuis votre balcon.,13,G. Gratiant,F. C.,66,64
Ladjè vèti pa tjwé pies vié fanm ka balkonnen.,La guerre déclarée ne tue pas les vieilles femmes qui se mettent au balcon.,13,Maloulou,D.,67,6
"Pita, ou ké ni doulè, mal vant balonnen.","Plus tard, vous souffrirez, vous aurez mal au ventre qui sera ballonné.",14,Marcel Lebielle,F. N.,67,10
Baltaza an mitan épi an gol doré.,Balthazar est au milieu avec une longue robe dorée.,13,G. Gratiant,F. C.,67,14
Gwo chaben-an koumansé balvènen nan lakou-a.,Le gros chabin commença à faire les cent pas dans la cour.,11,R. Confiant,K. Y.,67,18
Ti Sansann ka séré dèyè ban.,Petit Sansandre se cache derrière les bancs.,15,G. Gratiant,F. K. Z.,67,24
Ba mwen an piè lanbi pou man mété alaplas zié-a man ped la.,Donne moi une pierre de lambi pour remplacer mon œil perdu.,19,T. Léotin,L. L.,67,30
"Owtans, souplé, ouvè lapot-la ban mwen.",Hortense ouvre-moi la porte.,9,D. Boukman,Déliv.,67,37
Jòdi-jou lavi-a vini pli an banbanm ki nan tan-mwen.,"Aujourd'hui, l'existence est devenue plus en délabrement que de mon temps.",17,R. Confiant,K. Y.,67,41
Lafanmi Albè òganisé an banbilay pou lafet papa-yo.,La famille Albert avait organisé un banquet pour l’anniversaire de leur père.,8,,,67,45
Si yo genyen sitelman boutey wonm sé ki yo paré pou banboché.,"S’ils ont acheté autant de bouteilles de rhum, c’est qu’il s’apprêtent à",12,,,67,49
Sé banbochè-a vréyé lavwa pou sé fanm-lan té sa pòté poban tafia ba yo.,Les fêtards se mirent à gueuler afin que les femmes leurs portent des,14,R. Confiant,R. Y.,67,54
Grandi kon pous banbou ka fè.,Grandissant comme une pousse de bambou.,14,G. Gratiant,F. K. Z,67,60
Ou toujou bandé kon an chien fizi.,Tu es toujours bandé comme un chien de fusil.,12,Maloulou,D.,68,3
Sé lé bandi yo ka chwazi.,On choisit les bandits.,11,G. de Vassoigne,F. K.,68,11
"Fout ou ni bandisité an kò’w, prin sisé !","Tu as une sacrée témérité, prune sucée !",12,R. Confiant,Maris.,68,19
Sé grévis-la té mété an bando wouj alantou tet-yo.,Les grévistes avaient attaché un bandeau rouge autour de leur tête.,9,,,68,24
"Li tou, i sav sé menm kalté bandonnay-tala ki té rivé'y.","Lui aussi, il savait qu'il avait subi ce même genre d'abandon.",17,R. Confiant,K. Y.,68,28
"Mé frè’y Polinis, ki té bani…","Mais son frère Polinis, qui était  banni…",8,G. Mauvois,Ant.,68,34
"Té ni yich mè, té ni yich bankié.","Il y avait des enfants de maire, de banquier.",19,C. Colombo,T. J. M. L.,68,40
"Sé té an tan lontan lontan lontan, asou latè an sel bankoukélé !",Il y a fort longtemps régnait sur la terre un désordre indescriptible.,13,D. Boukman,Déliv.,68,46
Man pa sav ki manniè nou rivé chapé adan bankoulélé-tala.,Je ne sais pas comment nous avons réussi à sortir de cette situation inextricable,10,,,68,54
Sé pa davwè Jizel ni dé yich dé papa diféran i sé an banmboklak.,Ce n’est pas parce que Gisèle a deux enfants de deux pères différents,14,,,68,59
Sa té kay ba nou an bann.,Cela nous procurerait une érection.,13,S. Beckett,L.K.G.,69,7
E i voyé sé gad-la chofé an bann fè pou brilé Lapen.,Et il envoya ses gardes chauffer une barre de fer afin de brûler Lapin.,19,M-Th. Lung-Fou,C. C.,69,13
Pa té ni bannann kon aprézan.,Il n'y avait pas de bananes comme à présent.,14,J. Laurent et I. Césaire,C.M.A.,69,19
Joj ba frè’y la an bannann pannan i té ka kouri.,Georges a donné à son frère un coup de genou à la cuisse pendant que,11,,,69,26
Pa menm bann-pisa Moris rété apré opérasion lapostat-li a.,Maurice n’a même plus d’érection matinale après son opération à la prostate.,9,,,69,31
Man konnet pres tout sé péyi bannzil gwadloupéyen an.,Je connais presque tous les pays de l’archipel guadeloupéen.,9,,,69,37
Ou sé sa yo ka kriyé an yich Man Bans.,Vous êtes ce qu'on appelle une casse-pied.,14,G. Mauvois,M. M.,69,42
Lè ou ni tan asiz anlè bantjè lékol lanmizè.,Quand vous avez le temps de vous asseoir sur la banquette de l'école de la misère.,15,J-F. Liénafa,M. M.,69,48
"Tig kouché dan chanm-la, red kon an banza.","Tigre est couché dans la chambre, tendu comme un lance-pierre.",12,M-th. Lung-Fou,C. C.,69,52
Nou chak-la ni an parad.,Nous possédons chacun une séparation.,12,G-H. Léotin,M. V.,69,56
I té ka ranjé ek fè godiyo adan an ti barak.,Il réparait et fabriquait des godillots dans une petite baraque.,18,G-H. Léotin,M. L.,69,61
"I té bodzè, kourè, baladè, kaliè, sédiktè, doublè, baratinè.","Il était élégant, coureur, baiseur, séducteur, mystificateur, baratineur.",15,R. Davidas,Ch.,70,8
Ti fi-a pa té lé yo té mété baret an tet-li.,La petite fille ne voulait pas qu’on lui mette des barrettes dans les cheveux.,11,,,70,27
Pvb. Sé épi grenn diri ou ka plen bari.,(lit. C'est avec les graines de riz qu'on remplit le baril).,9,,,70,31
"Tout moun ka priyé-dié, ka barikadé.","Tout le monde prie Dieu, se barricade.",13,J-C. Duverger,Ant. K. n° 7,70,41
"Yo rivé asou an bas, ant dé lilet.","Il arrivèrent à un endroit où l'eau était peu profonde, entre deux ilets.",14,G-H. Léotin,M. L.,70,49
Yo pa ka wè bas-la ka jwé tibwen two fò.,Ils ne se rendent pas compte que la basse est trop forte.,10,,,70,55
Dlo wobinet ka fifinen an basen an fon lakou dèyè kay.,L'eau des robinets coulant goutte à goutte dans l'arrière-cour des cases.,17,G-H. Léotin M.,L.,70,59
Ki tan ou ké fini basinen mwen épi lanvi pati an Fwans-ou a ?,Quand finiras tu de me bassiner avec ton envie de partir en France ?,14,,,71,6
Owkes-nou an bizwen an bon basis.,Notre orchestre a besoin d’un bon bassiste.,6,,,71,10
Basiyak sé an mango ki ni an gou wonm.,La Bassignac est une mangue qui a un goût de rhum.,9,,,71,14
Li alé lakaz Saint-Palay pou li gannien yon bas-karé.,Il est allé chez Saint-Palay pour s'acheter un habit à basques.,15,F. Marbot,Bamb.,71,21
"Lè Jizel Ka maché, tout bas-karé’y ka brennen.","Quand Gisèle marche, tout son arrière-train remue.",8,,,71,27
Ni lontan nou pa fè an ti match basket.,Il y a longtemps que nous n’avons pas joué un petit match de basket-ball.,9,,,71,33
Es ou ka kwè ou té dwet genyen an pè basket si-telman chè ?,Est-ce que tu crois que tu aurais dû acheter une paire de baskets aussi chère ?,14,,,71,39
"Dépi i tou piti, sé baskétè i lé fè.","Depuis tout petit, il veut devenir basketteur.",9,,,71,43
Ou sé di mwen wè dé kodenn an baskou-a.,On aurait dit que j’ai vu deux coqs d’Inde dans la basse-cour.,9,,,71,51
Ou ka anni vini meg kon sé kouli Baspwent-lan.,Vous devenez soudain maigre comme les indiens de Basse-Pointe.,18,J.M.Rosier,An L.,71,55
I ja lè pou man fè an bas-tet.,Il est temps que je fasse une petite sieste.,8,,,71,61
Koté papa’w séré bastjil-la ?,Où ton père a-t-il caché la bascule ?,5,,,72,6
"Nonm-la pwan yon baton, li twouvé li lé bastonnen mwen.",L’homme s’est emparé d’un bâton et voulait me bastonner.,15,V. Coridun,Carn.,72,14
Edwa pa bat ou ?,Edouard ne t'as pas battu ?,10,G. Mauvois,M. M.,72,20
Ek tanbouyè-a ka bat ba lalin ka lévé nan sézonn.,Et le tambourinaire cogne le tambour pour la lune pleine.,14,Monchoachi,Nst.,72,27
Sa té bat vidé mèkrédi-dé-sann.,C'était pareil que le défilé carnavalesque du mercredi des cendres.,13,G-H. Léotin,M. V.,72,33
"Bat fò, débréyé ta.","Travaillez dur, arrêtez-vous tard.",10,T. Léotin,L. L.,72,39
Konpwann i té konpwann sé lenbé-a ki té ka bat ti fi-a.,S’imaginant que c’était le chagrin d’amour qui tourmentait la jeune fille.,20,R. Confiant,K. Y.,72,45
Man pa té sav Léwon té an bata-chinwa.,Je ne savais pas que Léon était métissé de chinois.,8,,,72,51
Emil té yich bata an Bétjé Sen-Piè.,Emile était l'enfant bâtard d'un Blanc créole de Saint-Pierre..,13,H. Bartéléry,T. A.,72,57
"Boug-tala bata soud, man kwè.","Ce type est presque sourd, je crois.",5,,,72,63
An gran madanm bata-chinwa té ka penyen chivé luil li.,Une métisse chinoise d’un âge avancé peignait ses cheveux lisses.,17,R. Confiant,Maris.,72,69
"Emérant sé té an bel jenn nonm, tou kout. An bata-kouli.","Emérant était un beau jeune homme, de petite taille. Un métis indien.",19,T. Léotin,O. L.,73,6
I wouvè lapot tjè’y a dé batan.,Il ouvrit les deux battants de son cœur.,13,T. Léotin,L. L.,73,11
"Mwen, man ka di sé pa pies Bata-Sirien ki papa timanmay-la.","Moi,  j’affirme que le père de cet enfant n’est pas un métis Syrien.",14,R. Confiant,Maris.,73,15
Enèstin batayé tout lannuit.,Ernestine fut agitée durant toute la nuit.,10,J-F. Liénafa,M. M.,73,21
"Konpè, épi ki moun ou té ka batayé kon sa, non ?","Compère, avec qui bataillais-tu ainsi ?",17,M-Th. Lung-Fou,C. C.,73,26
Sa ki di’w nonm ka bat-dous pasé fanm ?,Qu’est-ce qui te dit que les hommes se masturbent davantage que les femmes ?,9,,,73,30
Ka gadé lanmanniè kò-zot baté anba pwa kò’y.,Regardant vos corps bâtés sous leurs propres charges.,10,Monchoachi,Nst.,73,34
Yo té ka chaché an batè ki sa jwé djaz.,Ils cherchaient un batteur qui savait jouer du jazz.,10,,,73,39
"Sé pa mwen ki pòté yo pies o batenm, doudou.","Je ne suis pas du tout celui qui les ai porté au baptême, chérie.",16,G. Mauvois,M. M.,73,46
An viékò té bati an bel ti lajoupa.,Un vieil homme avait bâti une jolie petite cahute.,15,G. Gratiant,F. K. Z.,73,51
Man té rayi lékol Gwo-Mòn la épi batiman jòn li.,Je haïssais l’école du Gros-Morne avec se bâtiments jaunes.,14,R. Confiant,Maris.,73,57
Dan an siel trankil kon Batis.,Dans un ciel tranquille comme Baptiste.,14,G. Gratiant,F. K. Z.,74,7
"Dèpi i vini batis, i pa kay zouké ankò.","Depuis qu’il est devenu baptiste, il ne va plus danser.",9,,,74,13
Sé mwen ki batizé'y magré man pa labé.,C'est moi qui l'ai baptisé bien que je ne sois pas prêtre.,14,G. Gratiant F. K.,Z.,74,19
Manman’w mété twop rad sal adan batjé-a.,Ta mère a mis trop de vêtements sales dans le baquet.,7,,,74,33
Sa ki batjé adan pòyò apré’y…,Ceux qui se sont embarqués dans la banane après lui…,10,R. Confiant,K. Y.,74,43
Pvb. An bato koulé pa anpéché lézot navigé.,(lit. Un bateau coulé n'empêche pas les autres de naviguer),8,,,74,49
Yo planté adan latè an grand baton kwazé asou an ti baton.,Ils ont planté en terre un grand bâton croisé avec un petit.,17,G. Gratiant F. K.,Z.,74,54
Vié madanm-lan trapé yan baton-lélé épi wap !,La vieille femme s’empara  d’une grosse mouvette et pan !,12,D. Boukman,A. F.,74,63
"Men okontrè i té gadé Doudou, tan an ti bat-zié.","Mais au contraire, il avait regardé Doudou, le temps d'un clin d'œil.",15,G-H. Léotin,M. L.,75,3
"Epi adan an bat zié, tou-a za fouyé.","Et en une fraction de seconde, le trou était fouillé.",12,R. Confiant,M. F.,75,9
Mé déja an sakré bel bava.,Mais déjà un formidable bavard.,16,G. Gratiant,F. K. Z.,75,17
Kité’y ay fè manniè bava’y la dot koté.,Laisse-le aller jouer au fanfaron ailleurs.,13,G. Mauvois,Ant.,75,23
Frè’w la ni an manniè two bavadè an kò’y.,Ton frère est un petit peu trop fanfaron.,9,,,75,27
Moun ki ka bavadé kon sa pa ka fè mwen pè.,Les gens qui fanfaronnent comme ça ne m’impressionnent pas.,11,,,75,32
"Yo té ka bavadé, yo té ka fè rigoladri.","Ils bavardaient, plaisantaient.",14,r. Confiant,Bitak.,75,37
Lestonmak-li an bavawaz.,Il a l’estomac brouillé.,8,V. Coridun,Carn.,75,42
"Sé tjuis-la té koumansé fonn, ka swenté, ka bavé asou sann-lan.","Les cuisses se mettent à fondre, à suinter, à baver sur la cendre.",11,G. Mauvois,Ant.,75,46
"Ti makak-la asiz la, dèyè gran bawo kaj-la.","Le petit singe est assis, derrière le grand barreau de sa cage.",15,G. Gratiant,F. K. Z.,75,51
Bawomet pou miziré présion lè-a.,Des baromètres pour mesurer la pression de l’air.,8,S. Restog,Lam.,75,55
Bawouf lévé pabò sé tab sèbi a.,Des razzias se sont produites du côté des tables de jeu de dés..,14,H. Bartéléry,T. A.,75,60
I té sòti Nou-Yok oti i té sòti bay an konsè.,Il revenait de New-York où il venait de donner un concert.,16,I. et H. Cadoré,Vln.,76,7
bay chenn : remonter une mécanique ;,parler sans arrêt,7,,,76,11
bay fil : donner du lest bay gaz : accélérer,"emmerder, enquiquiner",4,,,76,14
Lé zansien rakonté nou i té ka bwè vèzou dan bay kochon.,Les anciens nous ont raconté qu’il buvait du vesou dans les baquets des porcs.,16,V. Coridun,Carn.,76,29
Lavi nou bay-alé.,Notre vie prit son essor.,8,T. Léotin L.,L.,76,34
Ki moun ki matjé bel bay-alé tala ?,Qui a écrit ce bel éditorial ?,8,,,76,39
I ka bayé anba mouchwa-a.,"Il baille, la bouche protégée par un mouchoir.",8,S. Beckett,J.B.,76,43
Avan bayè ki kouwonnen vil-la té anfondré anba difé bwa-gonm.,Avant que la barrière qui ceinture la ville ne s’effondra à cause d’un feu de bois de gomme.,10,G. Mauvois,Ant.,76,47
"Kidonk, avan Bazil chayé'y, i té vréyé pichon ek madichon anlè tet tout sé moun-lan ki té la-a.","Ainsi donc, avant que la mort ne l'emporte, il avait jeté un sort et une malédictionsur tous ceux qui étaient présents.",14,R. Davidas,Ch.,76,60
"Bazilik, sitwonel, atoumo.","Du basilic, de la citronnelle, des plantes à-tous-maux.",6,D. Boukman,Déliv.,77,3
Bazilik Balata-a sé pòtré ta Monmat-la men an pli piti.,La Basilique de Balata est identique à celle de Montmartre mais en plus petit.,10,,,77,9
Bazou kalé ka voyé tjim.,Naseaux retroussés qui écument.,12,Jean Bernabé,Matin.,77,15
"An tan lontan, moun té enmen mété bè wouj adan manjé-yo.","Autrefois, les gens aimaient mettre du beurre rouge dans leurs repas.",11,,,77,19
Ti bébé bien vlopé.,Des petits bébés bien langés.,8,M.Lebielle,F. N.,77,26
Bébé-kadom selman ki ka joué épi sa yo ni adan zasiet-yo.,Seuls les gamins jouent avec ce qu'ils ont dans leur assiette.,17,K. Mansfield,L. L.,77,38
Mirey pa jenmen ped ti manniè bébé-kadom li a.,Mireille n'a jamais perdu ses manières enfantines.,9,,,77,43
I toujou té ka désann di’y bonjou ek ba’y an ti bèbel.,Il descendait toujours lui dire bonjour et lui offrait un colifichet.,18,R. Confiant,K. Y.,77,49
Ou konpwann man ké soutiré Bèbèn pas i sé fiyel-ou ?,Tu t’imagines que je vais passer aux caprices de Bèbène parce qu’il est ton filleul ?,16,G. Mauvois,M. M.,78,3
Ay chaché bech-la an jaden-an ba mwen !,Va me chercher la bêche au jardin !,8,,,78,9
Manman Omè té ka bechté dri,La mère d'Homère bêchait avec vigueur,10,R.. Confiant,Bitak.,78,13
Anni an bèdè Adliz té ofè'w.,Adelise ne t’avait offert qu’un béret.,11,R.. Confiant,Bitak.,78,17
Albè ni an bédjen ba Jizel.,Albert a le béguin pour Gisèle.,6,,,78,21
"S'ou wè man té fè an bédji, sé ti flè blan'y-lan té kay trapé an ti gou anmè.",(R. Confiant Maris.),18,,,78,25
Bef-la pa ka dékolé an do-mwen.,Le bœuf ne me lâche pas d'un pas.,11,G. Mauvois M.,M.,78,32
Yich-kòn ! Ou pwan mwen pou an bef !,Enfoiré ! Tu m’as pris pour un idiot !,13,D. Boukman,Agoul.,78,46
"Lè ou beg, ou pa ka alé palé laradio.","Quand on est bègue, on ne va pas parler à la radio.",9,,,78,53
Pvb. Bégéyé ped.,(lit. Qui bégaie perd),3,,,79,3
Ou sé di direktè-a pa djè enmen bégéyè.,On dirait que le directeur n’aime pas trop les gens à qui il arrive de bégayer.,8,,,79,8
"San mandé ankò plis ba kò’y, bégli anba pawol ki té konnet fann fwa’y.","Sans rien demander de plus pour lui, écrasé par des propos qui savaient le démolir.",20,T. Léotin,T. L.,79,13
Simòn té ni an wob bej anlè'y jou-tala.,Simone portait une robe beige ce jour-là.,8,,,79,18
"Epi, adan kad sé gwo woch-la, bèjé-a li-menm paret.","Et, dans l'encadrement des rochers, le berger apparut à son tour.",15,K. Mansfield,L. L.,79,22
I fè an kout bek.,Il donna un coup de bec.,12,F. Kichenassamy C. P.,G.,79,27
Bek chanm-ou a pa ka limen ankò.,L’ampoule de ta chambre ne fonctionne plus.,7,,,79,32
I tonbé bek-a-bek asi an bagay i pa té konnet.,Il tomba nez à nez avec quelque chose d'étrange.,15,T. Léotin,L. L.,79,36
"Abo i chaché ti fi-a toupatou, i rété bèkalo.","Bien qu’il ait cherché la jeune fille partout, il est rentré bredouille.",9,,,79,41
"Lè ou wè Bekannò té ka maché an lari, moun té ka chanjé totwè.","Quand Bec-en-or marchait dans la rue, les gens changeaient de trottoir.",14,,,79,48
"Lè nou wè Edwa, nou tout la kriyé bèkèkè !","Quand nous avons vu Edouard, nous avons tous crié nananère !",10,,,79,55
Man koumansé plen épi lo bèkèkè’y la.,Je commence à en avoir assez de toutes ses hésitations.,7,,,79,62
Ou pa té sav Lisien sé an boug ki ni an bek-fin ?,Tu ne savais pas que Lucien était un gourmand ?,13,,,80,4
Adan péyi ki kon an bek-mè an fon tjè-mwen.,Dans un pays qui ressemble à un bec de mère-espadon fiché dans mon cœur.,14,A. Jouanakaéra,Anth.,80,9
Kok-la ki té atè-a anni fè an dènié bektaj.,Le coq qui se trouvait par terre donna un ultime coup de bec.,13,R. Confiant,Bitak.,80,13
I té sav sé té an bektan ki té la.,Il savait qu'il s'agissait d'un battant.,15,R.Confiant,K. Y.,80,17
