sentence,sentence_fra
Fout i lèd !,Qu'il est moche !
Fout sa bèl !,Que c'est beau !
Fè ba !,Fais un bisou !
Fè pyé a'w !,Tire-toi !
Fè sa ba manman !,Fais ça pour maman !
Fè sa pou manman !,Fais ça pour maman !
Fò gouvèlman kouté nou.,Le gouvernement doit nous écouter.
Fò ou ajisté pòt-la !,Il faut que tu ajustes la porte.
Gadé !,Regarde !
Gadé'w !,Regarde-toi !
Gidé mwen.,Guide-moi.
Gounouy ka manjé tibèt.,Les grenouilles mangent des insectes.
Gouté manjé-la pou vwè si i ni bon sèl !,Goûte pour voir si c'est assez salé !
"Ho-palè-la kasé, nou pa ka tann ayen.","Le haut-parleur est cassé, on n'entend rien."
"Ho-palè-la kasé, nou pa'a tann ayen.","Le haut-parleur est cassé, on n'entend rien."
Hélé !,Criez !
I achté on fétou an alimignòm.,Elle a acheté un fait-tout en aluminium.
I alzé i ka fè.,Il roule les mécaniques.
I anho an nou tout.,Il est notre supérieur.
I anlè balkon a'y.,Il est sur son balcon.
I anvyolé mwen.,Il m'a violé.
I apach.,Il est radin.
I asasou.,Il est radin.
I asi kouch la.,Il est sur le lit.
I balansé sèk a'y an gèl a'y.,Il s'envoya un petit rhum derrière la cravate.
I chanjé.,Il a changé.
I chyé alakous.,Il prit ses jambes à son cou.
I dizè.,Il est dix heures.
I dézè.,Il est deux heures.
I enmé Mawi.,Elle aimait Marie.
I enmé chanté.,Elle aime chanter.
I enmé chasé.,Il aime chasser.
I enmé dòmi.,Elle aime dormir.
I enmé kouwi.,Elle aime courir.
I enmé li.,Il aime lire.
I enmé najé.,Il aime nager.
I enmé nou.,Il nous aime.
I enmé péché.,Il aime pêcher.
I enmé'w.,Il t'aime.
I enmé'y.,Il l'aime.
I fonsé dé klou an poto-la.,Il enfonce deux clous dans le poteau.
I foukan kawata.,Il s'est enfui à toute vitesse.
I fè mwen pèd fil an mwen.,Il m'a fait perdre le fil de mes idées.
I fè sa pa méchansté.,Il l'a fait exprès.
I fèt avèg.,Il est aveugle de naissance.
I gwan pasé fwè a'y.,Il est plus grand que son frère.
I gwan pasé mwen.,Il est plus grand que moi.
I gwan pasé papa a'y.,Il est plus grand que son père.
I gwan pasé'y.,Elle est plus grande que lui.
I ka ba bèf bwè.,Il fait boire les bœufs.
I ka bwè.,Il boit.
I ka chasé lapen.,Il chasse le lapin.
I ka chèché travay.,Il cherche du travail.
I ka di tout moun papa a i sé on avyatè.,Il dit à tout le monde que son père est aviateur.
I ka enmé'y.,Elle l'aime.
I ka jwé.,Il joue.
I ka kouwi.,Il court.
I ka lavé jip a'y.,Elle lave sa jupe.
I ka lavé loto a'y.,Il lave sa voiture.
I ka lavé loto-la.,Il lave la voiture.
I ka lavé'y.,Il se lave.
I ka li on liv adan chanm a'y.,Il lit un livre dans sa chambre.
I ka limé blan balenn la.,Il allume la bougie.
I ka limé bouji-la.,Il allume la bougie.
I ka manjé on sòwbé vanni.,Il mange une glace à la vanille.
I ka manjé on sòwbé.,Il mange une glace.
I ka manjé.,Il est en train de manger.
I ka manti.,Il ment.
I ka mèt an lidé a'y sa i k'ay fè apwé.,Il imagine ce qu'il fera plus tard.
I ka najé adan lawivyè la.,Il nage dans la rivière.
I ka najé an wivyè la.,Il nage dans la rivière.
I ka palé awab.,Il parle l'arabe.
I ka palé.,Il est en train de parler.
I ka pwiyédyé chak jou.,Il prie chaque jour.
I ka pwiyédyé toulé jou.,Il prie chaque jour.
I ka pòté anlo lò.,Elle porte beaucoup de bijoux.
I ka rété anlè mòn la.,Il habite sur la colline.
I ka touché lajan anba-fèy.,Il touche de l'argent en secret.
I ka vini anflé.,Il enfle.
I ka wété Outsiplou.,Il habite à Outsiplou.
I ka wété kotésit.,C'est ici qu'il habite.
I ka éséyé.,Il essaye.
I kaché'y anba tab la.,Elle s'est cachée sous la table.
I kasé bwa a'y.,Il s'est cassé le bras.
I kasé lanmen a'y.,Il s'est cassé la main.
I kasé men a'y.,Il s'est cassé la main.
I katwè.,Il est quatre heures.
I ké manjé.,Il mangera.
I ké vin dèmen.,Il viendra demain.
I ké vini dèmen.,Il viendra demain.
I ké woté yo anba men a moun ki ka pwofité si yo é anba vyolans.,Il les libérera de l'oppression et de la violence.
I ké wouvini.,Il reviendra.
I kòlè davwa ou pati.,Il est fâché car tu es parti.
I kòlè padavwa ou pati.,Il est fâché car tu es parti.
I maké kat bi an match-la.,Il a marqué trois buts pendant le match.
I malad a fanm-la.,Il est fou de cette femme.
I malad.,Il est malade.
I mandé ki moun Èstéfann yé.,Il demanda qui était Stéphane.
I manjé.,Il a mangé.
I mi pa fòs.,On l'a forcé à mûrir.
I mwen gwan ki mwen.,Il est moins grand que moi.
I mwen gwan ki nou.,Il est plus grand que nous.
I mwen gwan ki yo.,Il est plus grand qu'eux.
I mwen gwan ki zòt.,Il est plus grand que vous.
I mwen gwan ki'w.,Il est moins grand que toi.
I mwen gwan pasé mwen.,Il est moins grand que moi.
I mwen gwan pasé nou.,Il est plus grand que nous.
I mwen gwan pasé zò.,Il est plus grand que vous.
I mwen gwan pasé'w.,Il est moins grand que toi.
I mwen gwan pasé'y.,Il est moins grand que lui.
I mwen pasé yo.,Il est plus grand qu'eux.
I ni dis lanné.,Il a dix ans.
I ni disèt lanné.,Il a dix-sept ans.
I ni disètan.,Il a dix-sept ans.
I ni diven.,Il a du vin.
I ni dizan.,Il a dix ans.
I ni diznèf lanné.,Il a dix-neuf ans.
I ni diznèvan.,Il a dix-neuf ans.
I ni dizywit lanné.,Il a dix-huit ans.
I ni dizywitan.,Il a dix-huit ans.
I ni douz lanné.,Il a douze ans.
I ni douzan.,Il a douze ans.
I ni dé gwo bajòl.,Elle a deux grosses bajoues.
I ni dé lanné.,Il a deux ans.
I ni dézan.,Il a deux ans.
I ni kat lanné.,Il a quatre ans.
I ni katwan.,Il a quatre ans.
I ni katwèven lanné.,Il a quatre-vingts ans.
I ni katwèvenen lanné.,Il a quatre-vingt-un ans.
I ni katwèvenennan.,Il a quatre-vingt-un ans.
I ni katòz lanné.,Il a quatorze ans.
I ni katòzan.,Il a quatorze ans.
I ni kawanndé lanné.,Il a quarante-deux ans.
I ni kawanndézan.,Il a quarante-deux ans.
I ni kawannkat lanné.,Il a quarante ans.
I ni kawanntwa lanné.,Il a quarante-trois ans.
I ni kawanntwazan.,Il a quarante-trois ans.
I ni kawant lanné.,Il a quarante ans.
I ni kawantan.,Il a quarante ans.
I ni kawantéen lanné.,Il a quarante-et-un ans.
I ni kawantéennan.,Il a quarante-et-un ans.
I ni kenz lanné.,Il a quinze ans.
I ni kenzan.,Il a quinze ans.
I ni lajan,Il a de l'argent.
I ni nèf lanné.,Il a neuf ans.
I ni nèvan.,Il a neuf ans.
I ni on gwo né.,Il a un gros nez.
I ni on kansè.,Il a un cancer.
I ni onz lanné.,Il a onze ans.
I ni onzan.,Il a onze ans.
I ni pwoblèm.,Il a des ennuis.
I ni san lanné.,Il a cent ans.
I ni santan.,Il a cent ans.
I ni senk lanné.,Il a cinq ans.
I ni senkan.,Il a cinq ans.
I ni sis lanné.,Il a six ans.
I ni sizan.,Il a six ans.
I ni swasanndis lanné.,Il a soixante-dix ans.
I ni swasanndizan.,Il a soixante-dix ans.
I ni swasant lanné.,Il a soixante ans.
I ni swasantan.,Il a soixante ans.
I ni sèt lanné.,Il a sept ans.
I ni sètan.,Il a sept ans.
I ni sèz lanné.,Il a seize ans.
I ni sèzan.,Il a seize ans.
I ni twa lanné.,Il a trois ans.
I ni twanndé lanné.,J'ai trente-deux ans.
I ni twanndézan.,J'ai trente-deux ans.
I ni twanntwa lanné.,Il a trente-trois ans.
I ni twanntwazan.,Il a trente-trois ans.
I ni twant lanné.,Il a trente ans.
I ni twantan.,Il a trente ans.
I ni twantéen lanné.,Il a trente-et-un ans.
I ni twantéennan.,Il a trente-et-un ans.
I ni twazan.,Il a trois ans.
I ni twèz lanné.,Il a treize ans.
I ni twèzan.,Il a treize ans.
I ni ven lanné.,Il a vingt ans.
I ni venndé lanné.,Il a vingt-deux ans.
I ni venndézan.,Il a vingt-deux ans.
I ni vennkat lanné.,Il a vingt-quatre ans.
I ni venntwa lanné.,Il a vingt-trois ans.
I ni venntwazan.,Il a vingt-trois ans.
I ni ventan.,Il a vingt ans.
I ni ventéen lanné.,Il a vingt-et-un ans.
I ni ventéennan.,Il a vingt-et-un ans.
I ni ywit lanné.,Il a huit ans.
I ni ywitan.,Il a huit ans.
I névè.,Il est neuf heures.
I pa enmé mwen.,Il ne m'aime pas.
I pa flanbo.,Il n'est pas brillant.
I pa gwan pasé mwen.,Il n'est pas plus grand que moi.
I pa ka konpwann ayen.,Il ne comprend rien.
I pa ka manjé.,Il ne mange pas.
I pa konprann hak.,Il n'a rien compris.
I pa kwè an Bondyé.,Elle ne croit pas en Dieu.
I pa manjé.,Il n'a pas mangé.
I pa ni entéré viré ankò.,Il n'a pas intérêt à revenir.
I pa on tèbè.,Il n'est pas idiot.
I pa pli gwan ki mwen.,Il n'est pas plus grand que moi.
I pa pli gwan pasé mwen.,Il n'est pas plus grand que moi.
I pa té k'ay manjé.,Il n'allait pas manger.
I pa'a manjé.,Il ne mange pas.
I pentiwé pòt la an blé.,Il a peint la porte en bleue.
I pli gwan ki mwen.,Il est plus grand que moi.
I pli gwan ki papa a'y.,Il est plus grand que son père.
I pli gwan pasé fwè a'y.,Il est plus grand que son frère.
I pli gwan pasé mwen.,Il est plus grand que moi.
I pli gwan pasé papa a'y.,Il est plus grand que son père.
I pli gwan pasé'y.,Elle est plus grande que lui.
I pran on katon wouj.,Il a eu un carton rouge.
I pwan pwa.,Il a pris du poids.
I pé ké manjé.,Il mangera.
I pé'é manjé.,Il mangera.
I rantré alvantis.,Il est devenu adventiste.
I senkè d'maten.,Il est cinq heures du matin.
I senkè.,Il est cinq heures.
I sizè.,Il est six heures.
I sé lanmou lavi an mwen.,Il est l'amour de ma vie.
I sé moun Fwans.,Il est français.
I sé moun isi ?,Est-il d'ici ?
I sé moun isi.,Il est d'ici.
I sé moun isit ?,Est-il d'ici ?
I sé moun isit.,Il est d'ici.
I sétè.,Il est sept heures.
I tonbé babap épi misyé.,Il est tombé nez à nez avec lui.
I toujou ka pléré.,Elle pleure tout le temps.
I twazè.,Il est trois heures.
"I tèlman kapon, i pa vlé sòti déyò lè swa.",Il est tellement froussard qu'il ne veut pas aller dehors le soir.
I té k'ay manjé.,Il allait manger.
"I té ni on boutik, mé sa ja anba dlo.","Il avait une boutique, mais elle a déjà fait faillite."
I té pléwé.,Elle pleurait.
I té tèlman an bab !,Il était dans un tel pétrin !
I vini !,Il est venu !
I vlé wivwè'y.,Elle veut le revoir.
I vlé wouvwè'y.,Elle veut le revoir.
I wonzè.,Il est onze heures.
"I woutouné dé men balan, men an pòch a'y.","Il retourna les mains vides, les mains dans les poches."
I ywitè.,Il est huit heures.
Ja ka ta.,Il se fait tard.
Ja lè pou pati.,Il est temps de partir.
Ja ta.,Il est tard.
Jako an mwen mò yè.,Mon perroquet est mort hier.
Jako an mwen twépasé yè.,Mon perroquet est mort hier.
Jan enmé Mawi.,Jean aime Marie.
Jandam-la fè mwen souflé adan alkotès.,Le gendarme m'a fait souffler dans l'alcootest.
Jandam-la fè'y souflé an balon.,Le gendarme l'a fait souffler dans l'alcootest.
Je suis moins grand que toi.,Je suis moins grand que toi.
"Jenn gason, ki lidé a'w èvè fi an mwen ?","Jeune homme, quelles sont tes intentions au sujet de ma fille ?"
Jwé'y.,Joue-le.
Jézi enmé zòt.,Jésus vous aime.
Jézi fè on chay miwak.,Jésus a fait de nombreux miracles.
Jézi vivan !,Jésus est vivant !
Ka Jéova ké fè ?,Que fera Jéhovah ?
Ka an ka sèvi'w ?,Qu'est-ce que je te sers ?
Ka fè cho.,Il fait chaud.
Ka fè dizè.,Il est dix heures.
Ka fè dézè.,Il est deux heures.
Ka fè fwèt.,Il fait froid.
Ka fè jou.,Il fait jour.
Ka fè katwè.,Il est quatre heures.
Ka fè lannywit.,Il fait nuit.
Ka fè nwè.,Il fait noir.
Ka fè névè.,Il est neuf heures.
Ka fè senkè.,Il est cinq heures.
Ka fè sizè.,Il est six heures.
Ka fè sètè.,Il est sept heures.
Ka fè twazè.,Il est trois heures.
Ka fè wonzè.,Il est onze heures.
Ka fè ywitè.,Il est huit heures.
Ka ki la ?,Qui est là ?
Ka ki yo ?,Qui sont-ils ?
Ka manké mwen azòt pou kann an mwen.,Je n'ai pas assez d'engrais azoté pour mes cannes à sucre.
Ka mwen ka sèvi'w ?,Qu'est-ce que je te sers ?
Ka nou dwèt fè ?,Que devons-nous faire ?
Ka ou annimé konsa ?,Pourquoi es-tu excité comme ça ?
Ka ou ka fè ?,Que faites-vous ?
Ka ou ka vwè ?,Que vois-tu ?
Ka pou fè ?,Que faire ?
Ka pou nou fè ?,Que faire ?
Ka rété dé kilomèt avan rivé-la.,Il reste deux kilomètres avant l'arrivée.
Ka sa vlé di ?,Qu'est-ce que ça veut dire ?
Ka sa yé ?,Qu'est-ce que c'est ?
Ka sé asistan ministéryèl la ka fè ban nou ?,Que font les assistants ministériels pour nous ?
Ka zòt ka chèché ?,Que cherches-tu ?
Ka « Tatoeba » vlé di ?,Que signifie « Tatoeba » ?
Kapital a Lafwans sé Pawi.,"La capitale de la France, c'est Paris."
Karib té ni ak.,Les indiens Caraïbes avaient des arcs.
"Kawo-la two cho, ou ké bwilé lenj-la.","Le fer est trop chaud, tu vas brûler le linge."
Kawousi a vwati la wouyé onlo.,La carrosserie de la voiture est toute rouillée.
Kaz !,Maison !
Kaz an mwen gwan pasé ta'w.,Ma maison est plus grande que la tienne.
Kaz an mwen pli gwan ki ta'w.,Ma maison est plus grande que la tienne.
Kaz an mwen pli gwan pasé ta'w.,Ma maison est plus grande que la tienne.
Kaz la a'y.,La maison lui appartient.
Kaz-la toujou penpan.,La maison est toujours propre.
Ki bakannal ésa !,Qu'est-ce que c'est que ce tapage !
Ki biten ou vlé mandé mwen Èstéfann ?,"Que veux-tu me demander, Stéphane ?"
Ki chimiz ou achté ?,Quelle chemise as-tu achetée ?
Ki chyen ki mòdé'w ?,Quel chien t'a mordu ?
Ki gwad a'w ?,Quel est ton grade ?
Ki jan yo ka di... ?,Comment dit-on ... ?
Ki koté i dwèt ay ?,Où doit-elle aller ?
Ki koté manman yé ?,"Elle est où, maman ?"
Ki koté mwen pé achté ponm ?,Où puis-je acheter des pommes ?
Ki koté nou yé ?,Où sommes-nous ?
Ki koté ou fèt ?,Où es-tu né ?
Ki koté ou ka wété ?,Où habites-tu ?
Ki koté ou té pasé ?,Où étais-tu passé ?
Ki laj-ou ?,Quel âge as-tu ?
Ki lidé a'w èvè fi an mwen ?,Quelles sont tes intentions au sujet de ma fille ?
Ki lè i yé ?,Quelle heure est-il ?
Ki moun i Kwistann ?,Qui est Christiane ?
Ki moun i Èstéfann ?,Qui est Stéphane ?
Ki moun ki di'w sa?,Qui t'a dit cela ?
Ki moun ou enmé ?,Qui aimes-tu ?
Ki non a'w ?,Comment est-ce que tu t'appelles ?
Ki nouvèl a'w ?,Que deviens-tu ?
Ki nouvèl a'w Kwisyann ?,Que deviens-tu Christiane ?
Ki nouvèl a'w Mawi ?,Que deviens-tu Marie ?
Ki nouvèl a'w Tòm ?,Que deviens-tu Tom ?
Ki nouvèl a'w Èstéfann ?,Que deviens-tu Stéphane ?
Ki pwi a mayo-lasa ?,Combien coûte ce maillot de bain ?
Ki pwi a pantalon-lasa ?,Combien coûte ce pantalon ?
Ki pwi a soulyé-lasa ?,Combien coûtent ces chaussures ?
Ki pwoblèm a'w ?,De quoi je me mêle ?
Ki tan ka fè ?,Quel temps fait-il ?
Kibiten ésa ?,Qu'est-ce que c'est ?
Kijan ?,Comment ?
Kijan a'w ?,Comment vas-tu ?
Kijan ou ka vini ?,Quand viens-tu ?
Kijan ou touvé fim-la ?,Comment as-tu trouvé le film ?
Kijan ou touvé siléma-la ?,Comment as-tu trouvé le film ?
Kijan ou yé ?,Comment vas-tu ?
Kijan yo fè'y ?,Comment l'ont-ils fait ?
Kijan zòt fè ?,Comment faites-vous ?
Kilès ou pisimé ?,Lequel préfères-tu ?
Kilès pwan'y ?,Qui l'a pris ?
Kilès zòt pisimé ?,Laquelle préférez-vous ?
Kimoun ?,Qui ?
Kimoun ki bwè dlo-la ?,Qui a bu l'eau ?
Kitan ?,Quand ?
Kitan i ké vini ?,Quand viendra-t-elle ?
Kitan nou ka vwè ?,On se voit quand ?
Kitan ou ké vini ?,Quand viendras-tu ?
Kitan yo ké vini ?,Quand viendront-elles ?
Kitan zòt ké vini ?,Quand viendrez-vous ?
Klé-la anho a bifé-la.,La clef est sur le dessus du buffet.
Konmen timoun i ni ?,Combien d'enfants a-t-il ?
Konmen timoun i tini ?,Combien d'enfants a-t-il ?
Konmen timoun ou ni ?,Combien d'enfants as-tu ?
Konmen timoun ou tini ?,Combien d'enfants as-tu ?
Konmen timoun yo tini ?,Combien d'enfants ont-elles ?
Koulè lasa pa k'ay èvè'y.,Cette couleur ne lui va pas.
Koumansé !,Commence !
Koumansé.,Commencez.
Kouwi !,Cours !
Kwiyé mwen !,Appelle-moi !
Kwiyé'y.,Téléphone-lui.
Kwiyé.,Appelez.
Lajan pa ka achté lanmou.,L'argent ne fait pas le bonheur.
Lanmè-la ké ni gwo lanm.,Il y aura de la houle en mer.
Lannèj ka tonbé.,Il neige.
Lapen ni gwan zòwèy.,Les lapins ont de grandes oreilles.
Lapen ni zòwèy long.,Les lapins ont de longues oreilles.
Lapli ka tonbé.,Il pleut.
Lapli ké tonbé.,Il va pleuvoir.
Las plontonné lenj a'w.,Ne roule pas tes vêtements en boule.
Las plontonné lenj la.,Ne roule pas les vêtements en boule.
Latè a pa on zétwal.,La Terre n'est pas une étoile.
Latè sé pa on zétwal.,La Terre n'est pas une étoile.
Lavé biwo-la !,Lave le bureau !
Lavé pyé'w.,Lave tes pieds.
Li !,Lis !
Li.,Lis !
Limé blan balenn la.,Allume la bougie.
Limé bouji-la.,Allume la bougie.
Limé limyè-la.,Allume la lumière.
Liv la blan.,Le livre est blanc.
Loraj-la tonbé asi on pyébwa.,La foudre est tombée sur un arbre.
Loto a'y té nèf lè i kwazé'y.,Sa voiture était neuve lorsqu'il l'a bousillé.
Loto an mwen pran pann.,Ma voiture est en panne.
Loto-la pri adan on ma-labou.,La voiture s'est enlisée dans un bourbier.
Lous-la ka vansé si nou.,L'ours avance vers nous.
Lwi-la sé sans-la ka pèwmèt on moun tann.,L'ouïe est le sens qui permet d'entendre.
"Lè an té sòlda, an té adjidan.","Quand j'étais militaire, j'étais adjudant."
"Lè an vwè chyen-la, an chyé kouwi.","Quand j'ai vu le chien, j'ai pris mes jambes à mon cou."
"Lè chat pa la, wat ka bay bal.","Quand le chat n'est pas là, les souris dansent."
"Lè i vwè balan kòwòsòl ki té an pyé-la, i koumansé chanté.","Quand il vit la quantité de fruits sur le corossolier, il se mit à chanter."
"Lè i vwè chyen-la vin, i chyé bal.","Quand il a vu venir le chien, il s'est enfui à toutes jambes."
"Lè swa, i enmé balansé kò a'y anlè bèwsèz a'y.","Le soir, il aime se balader dans sa berceuse."
"Lé ni on mèt nèf, zélèv toujou ka éséyé'y.","Quand arrive un nouveau maître, les élèves le mettent toujours à rude épreuve."
"Lé ni on mèt néf, zélèv toujou ka éséyé-y.","Quand arrive un nouveau maître, les élèves le mettent toujours à rude épreuve."
"Lévé pyé a'w, ni timoun ka jwé-la !","Ralentissez, il y a des enfants qui jouent ici !"
Lévé'w.,Lève-toi.
Maché.,Marchez.
Madagaska sé on lilèt.,Madagascar est une île.
Madanm a i ka vann karòt anba marché.,Sa femme vend des carottes sous le marché couvert.
Madanm a i ka vann kawòt anba mawché.,Sa femme vend des carottes sous le marché couvert.
Manga mwen.,Fais attention à moi.
Manjé !,Mange !
Manman mwen ka fè machann anba laplas.,Ma mère est vendeuse au marché.
Manman mwen ka lavé lenj chak jou.,Ma mère lave les vêtements chaque jour.
Manman mwen ka lavé lenj toulé jou.,Ma mère lave les vêtements chaque jour.
Mantè !,Menteur !
Mantè.,Menteur.
Mantèz !,Menteuse !
Mantèz.,Menteuse.
Matant an mwen sé sè a manman mwen.,Ma tante est la sœur de ma mère.
Mawi enmé Tòm.,Marie aimait Tom.
Mawi enmé najé.,Marie aime nager.
Mawi enmé'w.,Mary t'aime.
Mawi mwen gwan ki Tòm.,Marie est moins grande que Tom.
Mawi mwen gwan pasé Tòm.,Marie est moins grande que Tom.
Mawi pisimé èski.,Marie préfère le ski.
Mawi pè souwit.,Marie a peur des souris.
Mawika té enmé dansé.,Marika aimait danser.
Mi Alis.,Voici Alice.
Mi Ana.,Voici Anna.
Mi Damyen.,Voici Damien.
Mi Dèlfin.,Voici Delphine.
Mi Flavyen.,Voici Flavien.
Mi Gaston.,Voici Gaston.
Mi Gladis.,Voici Gladys.
Mi Gzavyé.,Voici Xavier.
Mi Inosan.,Voici Innocent.
Mi Jak.,Voici Jacques.
Mi Jan.,Voici Jean.
Mi Jili.,Voici Julie.
Mi Jilyen.,Voici Julien.
Mi Jéwémi.,Voici Jérémie.
Mi Jòj.,Voici Georges.
Mi Jòslen.,Voici Jocelyn.
Mi Kanten.,Voici Quentin.
Mi Kwistòf.,Voici Christophe.
Mi Kwisyann.,Voici Christiane.
Mi Kévin.,Voici Kévin.
Mi Lanslo.,Voici Lancelot.
Mi Lidivin.,Voici Ludivine.
Mi Liz.,Voici Lise.
Mi Mamadou.,Voici Mamadou.
Mi Mawi.,Voici Marie.
Mi Nowé.,Voici Noé.
Mi Oféli.,Voici Ophélie.
Mi Pyè.,Voici Pierre.
Mi Sésil.,Voici Cécile.
Mi Toma.,Voici Thomas.
Mi Tòm.,Voici Tom.
Mi Valanten.,Voici Valentin.
Mi Valantin.,Voici Valentine.
Mi Valantin..,Voici Valentine.
Mi Vanésa.,Voici Vanessa.
Mi Wojé.,Voici Roger.
Mi Wòz.,Voici Rose.
Mi bab !,Quelle histoire !
Mi bab pou mwen mi !,Me voilà bien embêté !
Mi bèl lakansyèl !,Quel bel arc-en-ciel !
Mi chalè !,Quelle chaleur !
Mi mwen !,Me voilà !
Mi yo !,Les voici !
Mi yo.,Les voici.
Mi Èstéfann.,Voici Stéphane.
Mi Òktav.,Voici Octave.
Mi'y.,Le voici.
Misyé ka touché lajan anba-fèy.,Il touche de l'argent en secret.
Misyé ka vini anflé.,Il enfle.
Misyé pa ayen a'w.,Il n'est rien pour toi.
Misyé rantré alvantis.,Il est devenu adventiste.
Misyé vòlè anba-anba.,Il vole en cachette.
Motè lasa ka fè dis anpè.,Ce moteur fait dix ampères.
Mwen achté on téléfòn nèf.,J'ai acheté un nouveau téléphone.
Mwen adan ladoutans.,J'hésite.
Mwen anba chèf-la.,Je suis sous les ordres du chef.
Mwen anvi chyé.,J'ai envie de chier.
Mwen bizwen vou.,J'ai besoin de toi.
Mwen bizwen vwè'w.,J'ai besoin de te voir.
Mwen enmé Hitomi.,J'aime Hitomi.
Mwen enmé Kati.,J'aime Cathy.
Mwen enmé Mawi.,J'aime Mary.
Mwen enmé Tatoeba.,J'aime Tatoeba.
Mwen enmé Tòm.,J'aime Tom.
Mwen enmé aprann.,J'aime apprendre.
Mwen enmé apwann.,J'aime apprendre.
Mwen enmé bayé.,J'aime bâiller.
Mwen enmé bwè.,J'aime boire.
Mwen enmé chanté-lasa.,J'aime cette chanson.
Mwen enmé chanté.,J’aime chanter.
Mwen enmé dansé.,J'aime danser.
Mwen enmé désiné.,J'aime dessiner.
Mwen enmé dòmi.,J'aime dormir.
Mwen enmé fomaj a kabwit.,J'aime le fromage de chèvre.
Mwen enmé fè lékòl.,J'aime enseigner.
Mwen enmé kalkilé.,J'aime calculer.
Mwen enmé kouwi.,J'aime courir.
Mwen enmé li.,J'aime lire.
Mwen enmé maché.,J'aime marcher.
Mwen enmé magazen-lasa.,J'aime ce magasin.
Mwen enmé manjé.,J'aime manger.
Mwen enmé najé.,J'aime nager.
Mwen enmé palé.,J'aime parler.
Mwen enmé patat.,J'aime les patates douces.
Mwen enmé poul.,J'aime le poulet.
Mwen enmé péché.,J'aime pêcher.
Mwen enmé ri.,J'aime rire.
Mwen enmé révé.,J'aime rêver.
Mwen enmé siléma-lasa.,J'aime ce film.
Mwen enmé travay.,J'aime travailler.
Mwen enmé yo.,Je les aime.
Mwen enmé zozyo.,J'aime les oiseaux.
Mwen enmé étidyé.,J'aime étudier.
Mwen enmé'w !,Je t'aime !
Mwen enmé'w manman.,Je t'aime maman.
Mwen enmé'w onlo !,Je t'aime beaucoup !
"Mwen enmé'w onlo, Tòm !","Je t’aime beaucoup, Tom !"
Mwen enmé'w onlo.,Je t'aime beaucoup.
Mwen enmé'w osi.,Je t'aime aussi.
Mwen enmé'w papa.,Je t'aime papa.
Mwen enmé'w toubòlman !,Je t'aime beaucoup !
"Mwen enmé'w toubòlman, Tòm !","Je t’aime beaucoup, Tom !"
Mwen enmé'w toubòlman.,Je t'aime beaucoup.
"Mwen enmé'w, doudou !","Je t'aime, chérie !"
Mwen enmé'w.,Je t'aime.
Mwen enmé'y.,Je l'aime.
Mwen fen !,J'ai faim !
Mwen gwan.,Je suis grand.
Mwen hayi tout moun.,Je déteste tout le monde.
Mwen jalou.,Je suis jaloux.
Mwen k'ay bò d'lanmè.,Je vais à la plage.
Mwen k'ay bòdlanmè.,Je vais à la plage.
Mwen k'ay laga pwan twen-la.,Je vais à la gare pour prendre le train.
Mwen k'ay lèstasyon pwan twen-la.,Je vais à la gare pour prendre le train.
Mwen k'ay manjé on sitwon.,Je vais manger un citron.
Mwen k'ay najé chak jou.,Je vais nager chaque jour.
Mwen ka aché sé nonm-la.,Je cherche les hommes.
Mwen ka aché zanmi.,Je cherche des amis.
Mwen ka bwè èvè on pay.,Je bois avec une paille.
Mwen ka chaché sé nonm-la.,Je cherche les hommes.
Mwen ka chaché zanmi.,Je cherche des amis.
Mwen ka chwézi lenj an mwen asi katalòg.,Je choisis mes vêtements sur catalogue.
Mwen ka chèché on bijoutri.,Je cherche une bijouterie.
Mwen ka chèché on bouchri.,Je cherche une boucherie.
Mwen ka chèché on boulanjri.,Je cherche une boulangerie.
Mwen ka chèché on boutik a flè.,Je cherche un fleuriste.
Mwen ka chèché on boutik a joujou pou timoun.,Je cherche un magasin de jouets.
Mwen ka chèché on boutik a lenj.,Je cherche un magasin de vêtements.
Mwen ka chèché on boutik a soulyé.,Je cherche un magasin de chaussures.
Mwen ka chèché on boutik.,Je cherche un magasin.
Mwen ka chèché on chèl.,Je cherche une station-service.
Mwen ka chèché on fanmasi.,Je cherche une pharmacie.
Mwen ka chèché on lolo.,Je cherche une épicerie.
Mwen ka chèché on machann pwason.,Je cherche un poissonnier.
Mwen ka chèché on machann sòwbé.,Je cherche un glacier.
Mwen ka chèché on parfumri.,Je cherche une parfumerie.
Mwen ka chèché on sant komèwsyal.,Je cherche un centre commercial.
Mwen ka chèché on sipèrmawché.,Je cherche un supermarché.
Mwen ka chèché on timawché.,Je cherche un marchand de fruits et légumes.
Mwen ka chèché travay.,Je cherche du travail.
Mwen ka fè manjé èvè lywil zoliv.,Je cuisine à l'huile d'olive.
Mwen ka hayi yo.,Je les déteste.
Mwen ka jwé.,Je joue.
Mwen ka koumansé.,Je commence.
Mwen ka kouwi.,Je cours.
Mwen ka lavé lenj an mwen toulé jou.,Je lave mes habits chaque jour.
"Mwen ka li, ou ka ékwi.",Je lis; tu écris.
Mwen ka limé bouji-la.,J'allume la bougie.
Mwen ka lévé gwan bonnè.,Je me lève tôt.
Mwen ka maké on chanté an fwansé.,J'écris une chanson en français.
Mwen ka manjé on kiwi.,Je mange un kiwi.
Mwen ka manjé on konkonm.,Je mange un concombre.
